,,,The datasets at the top of tower,,,,,,,,,,,The profile of the data from sonic anemometers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The profile of air temperature,,,,,,,,,,,,The profile of humidity,,,,,,,,,,
Year,Day of year,TIME(JST),Sdown (W m-2),Sup (W m-2),Ldown (W m-2),Lup (W m-2),U (m s-1),Tsonic (oC),q (g kg-1),H (W m-2),LE (W m-2),z'/L,,U29m (m s-1),U21m (m s-1),U15m (m s-1),U11m (m s-1),Tsonic29m (m s-1),Tsonic21m (m s-1),Tsonic15m (m s-1),Tsonic11m (m s-1),u'w'29m (m2 s-2),u'w'21m (m2 s-2),u'w'15m (m2 s-2),u'w'11m (m2 s-2),su29m (m s-1),su21m (m s-1),su15m (m s-1),su11m (m s-1),sv29m (m s-1),sv21m (m s-1),sv15m (m s-1),sv11m (m s-1),sw29m (m s-1),sw21m (m s-1),sw15m (m s-1),sw11m (m s-1),w'T'29m (m s-1 K),w'T'21m (m s-1 K),w'T'15m (m s-1 K),w'T'11m (m s-1 K),w'q'29m (m s-1 g kg-1),w'q'21m (m s-1 g kg-1),,Tair0.75m (oC),Tair3m (oC),Tair5m (oC),Tair7m (oC),Tair9m (oC),Tair11m (oC),Tair14m (oC),Tair17m (oC),Tair21m (oC),Tair25m (oC),Tair28m (oC),,H2O0.75m (mmol mol-1),H2O3m (mmol mol-1),H2O5m (mmol mol-1),H2O7m (mmol mol-1),H2O9m (mmol mol-1),H2O11m (mmol mol-1),H2O14m (mmol mol-1),H2O17m (mmol mol-1),H2O21m (mmol mol-1),H2O25m (mmol mol-1),H2O28m (mmol mol-1)
2005,2,0,2.2 ,0.3 ,223.1 ,305.7 ,3.7581,3.3177,2.0144,-18.741,6.5346,0.088365,,3.7581,3.0904,2.4516,1.7736,3.3177,2.9632,-1.3822,0.083802,-0.11428,-0.15478,-0.18735,-0.1702,0.91687,0.9582,0.97844,0.92742,0.70998,0.74266,0.91074,0.72238,0.46639,0.44466,0.46126,0.43343,-0.015335,-0.01593,-0.018941,-0.021161,0.0023662,0.0021707,,1.347833333,1.454,-6999,1.400333333,1.491166667,1.5295,-6999,1.568166667,-6999,1.561,1.549333333,,3.402607143,3.2895,3.27575,3.255357143,3.242357143,3.227035714,3.214571429,3.214678571,3.20425,3.182392857,3.15525
winter,2,1,2.7 ,0.6 ,221.1 ,303.2 ,3.0754,2.9934,2.0217,-13.782,4.3652,0.156,,3.0754,2.4529,1.9128,1.2607,2.9934,2.6055,-1.8202,-0.37546,-0.063788,-0.094632,-0.11542,-0.097604,0.80754,0.82575,0.89801,0.79564,0.7243,0.72882,0.86016,0.75262,0.37391,0.36205,0.366,0.34459,-0.011277,-0.015095,-0.010636,-0.015739,0.0015886,0.0013347,,0.912333333,1.051666667,-6999,1.0185,-2332.151,1.128333333,-6999,1.175833333,-6999,1.181166667,1.169166667,,3.338071429,3.261142857,3.252071429,3.23875,3.229214286,3.216964286,3.204142857,3.201857143,3.167678571,3.153785714,3.144321429
,2,2,2.9 ,0.5 ,219.8 ,300.2 ,3.0179,2.3192,2.1339,-12.794,3.3303,0.28456,,3.0179,2.4558,1.8843,1.264,2.3192,1.9239,-2.6149,-1.1743,-0.040727,-0.044755,-0.055979,-0.048738,0.68201,0.63364,0.64077,0.56216,0.53227,0.51862,0.55674,0.46083,0.31358,0.30405,0.31105,0.29297,-0.010468,-0.012422,-0.0082526,-0.011138,0.0012298,0.0011353,,0.142666667,0.251333333,-6999,0.245833333,-6999,0.304833333,-6999,0.384833333,-6999,0.402666667,0.3915,,3.479964286,3.437285714,3.432285714,3.421428571,3.416607143,3.407857143,3.392178571,3.3835,3.336214286,3.319428571,3.319964286
,2,3,2.9 ,0.6 ,217.1 ,296.7 ,2.6226,1.5989,2.2223,-9.872,1.9482,0.76004,,2.6226,2.1115,1.6518,1.1486,1.5989,1.1917,-3.456,-2.0237,-0.017829,-0.029261,-0.018229,-0.015067,0.50118,0.49705,0.52891,0.45433,0.5496,0.47025,0.42682,0.36552,0.18614,0.2043,0.19277,0.18849,-0.0080777,-0.0079074,-0.0049397,-0.0063324,0.00073726,0.00075858,,-0.825666667,-0.6825,-6999,-0.64,-6999,-0.560333333,-6999,-0.482,-6999,-0.4455,-0.446333333,,3.634571429,3.617464286,3.613678571,3.601357143,3.593035714,3.579607143,3.564285714,3.55275,3.507285714,3.486678571,3.480428571
,2,4,3.1 ,0.4 ,216.6 ,295.1 ,2.0477,1.5347,2.2012,-2.5274,0.59732,-0.000022408,,2.0477,1.6357,1.2156,0.70961,1.5347,1.1423,-3.5681,-2.2047,0.0026712,-0.0081707,-0.013128,-0.014443,0.35715,0.32682,0.33447,0.32585,0.49448,0.47998,0.71844,0.49994,0.13741,0.13252,0.14687,0.15242,-0.002068,-0.0035324,-0.0050531,-0.0062878,0.00022259,0.00033943,,-1.715666667,-1.13,-6999,-0.974166667,-6999,-0.783666667,-6999,-0.614833333,-6999,-0.5605,-0.558833333,,3.717678571,3.654785714,3.64425,3.630785714,3.616071429,3.595,3.563892857,3.538071429,3.49925,3.480107143,3.454964286
,2,5,3.1 ,0.3 ,216.9 ,293.7 ,1.6847,1.4951,2.1821,-2.5017,0.23362,19.446,,1.6847,1.2164,0.82621,0.43929,1.4951,1.0817,-3.6703,-2.3479,-0.00082251,-0.0095752,-0.0052846,-0.0052168,0.45927,0.45203,0.38879,0.28449,0.48705,0.51058,0.49851,0.41678,0.12837,0.11136,0.097424,0.10184,-0.002047,-0.0036349,-0.0023655,-0.0040844,0.000096843,0.00031638,,-2.374666667,-1.625333333,-6999,-1.2475,-6999,-0.932666667,-6999,-0.725833333,-6999,-0.644666667,-0.635833333,,3.738285714,3.671678571,3.647892857,3.618357143,3.594857143,3.563214286,3.529714286,3.505071429,3.472321429,3.446535714,3.425142857
,2,6,5.0 ,0.6 ,218.2 ,293.2 ,1.9003,1.3582,2.2382,-1.4063,0.85511,-0.000022422,,1.9003,1.5323,1.1221,0.66614,1.3582,0.80154,-4.1783,-2.9763,0.00041924,-0.0026422,0.0014833,-0.0082132,0.5708,0.67067,0.72931,0.54731,0.7255,0.69852,0.58487,0.34861,0.11234,0.077419,0.10578,0.12178,-0.0011507,-0.00050536,0.0015903,-0.002322,0.0003043,-0.000039639,,-2.418166667,-2.06,-6999,-1.842,-6999,-1.571833333,-6999,-1.163166667,-6999,-0.838333333,-0.781666667,,3.838607143,3.813678571,3.804321429,3.794464286,3.781321429,3.756142857,3.71525,3.657571429,3.569285714,3.505464286,3.446857143
,2,7,87.4 ,22.2 ,230.5 ,302.6 ,2.2763,1.3737,2.1762,5.1063,-0.38706,-0.000022421,,2.2763,1.7638,1.3636,1.0039,1.3737,0.70346,-3.8784,-2.5688,0.0013284,-0.0038404,-0.0047908,-0.0071442,0.42174,0.4368,0.46217,0.4499,0.64522,0.65194,0.68756,0.47786,0.10167,0.096325,0.1373,0.14814,0.0041782,-0.0021367,-0.0026343,-0.0064479,-0.00016663,0.00016442,,-1.818166667,-1.605,-6999,-1.376166667,-5832.44,-1.077333333,-6999,-0.8085,-6999,-0.4915,-0.4885,,3.82675,3.790928571,3.782785714,3.765892857,3.748428571,3.710321429,3.654321429,3.584892857,3.494142857,3.394392857,3.320357143
,2,8,250.3 ,38.1 ,244.3 ,314.9 ,1.7213,1.8337,2.178,14.185,16.289,-0.23662,,1.7213,1.5217,1.3372,1.0521,1.8337,1.4808,-2.3754,-0.78736,-0.049396,-0.03526,-0.017033,-0.022325,0.45651,0.4492,0.47227,0.46522,0.48637,0.49107,0.58542,0.50618,0.25963,0.24605,0.25053,0.24238,0.011607,0.012421,0.01446,0.015276,0.0055264,0.0048394,,0.272833333,0.670833333,-6999,0.803,-6999,0.710833333,-6999,0.657666667,-6999,0.455833333,0.401833333,,3.65125,3.635678571,3.638892857,3.617857143,3.608142857,3.594285714,3.577464286,3.571964286,3.560464286,3.533785714,3.4865
