date,H2O0.75m (mmol mol-1),H2O3m (mmol mol-1),H2O5m (mmol mol-1),H2O7m (mmol mol-1),H2O9m (mmol mol-1),H2O11m (mmol mol-1),H2O14m (mmol mol-1),H2O17m (mmol mol-1),H2O21m (mmol mol-1),H2O25m (mmol mol-1)
2005-09-01 00:00:00,25.40642857,25.23392857,25.2175,25.16964286,25.17285714,25.14071429,25.15571429,25.11,25.01964286,24.9875
2005-09-01 01:00:00,24.765,24.4975,24.585,24.39107143,24.36392857,24.31642857,24.30428571,24.23642857,24.10107143,24.03285714
2005-09-01 02:00:00,23.67928571,23.41285714,23.38857143,23.33357143,23.32214286,23.29285714,23.29392857,23.25178571,23.1725,23.12357143
2005-09-01 03:00:00,23.95357143,23.69821429,23.67714286,23.62714286,23.62607143,23.60535714,23.60964286,23.56071429,23.47071429,23.43678571
2005-09-01 04:00:00,23.72892857,23.54428571,23.54,23.4975,24.20785714,23.47178571,23.48142857,23.43571429,23.34607143,23.30785714
2005-09-01 05:00:00,23.30607143,23.12178571,23.11607143,23.07035714,23.06214286,23.04857143,23.05607143,23.00642857,22.9175,22.8825
2005-09-01 06:00:00,22.72821429,22.62785714,22.61464286,22.55321429,22.50821429,22.48,22.465,22.40214286,22.29642857,22.23964286
2005-09-01 07:00:00,22.64857143,22.40571429,22.36821429,22.28607143,22.26464286,22.24535714,22.23964286,22.18535714,22.08571429,22.00321429
2005-09-01 08:00:00,22.99148148,22.35777778,22.39814815,22.37259259,22.35851852,22.28555556,21.70514286,22.23285714,22.16892857,22.13
2005-09-01 09:00:00,21.74074074,21.04925926,20.78925926,21.00444444,21.68035714,21.55142857,21.34035714,21.32892857,20.59032143,19.99214286
2005-09-01 10:00:00,22.37392857,21.72357143,21.70321429,21.59821429,21.59178571,21.53785714,21.40357143,21.32214286,21.16392857,21.05821429
2005-09-01 11:00:00,20.92892857,20.14035714,20.01928571,19.9475,19.8675,19.81821429,19.66571429,19.51857143,19.3375,19.26321429
2005-09-01 12:00:00,20.49857143,19.71571429,19.60285714,19.5175,19.46892857,19.38928571,19.29892857,19.5725,19.01535714,18.89821429
2005-09-01 13:00:00,20.31,19.64285714,19.66642857,19.63035714,19.55321429,19.46,19.37464286,19.28107143,19.1075,18.9925
2005-09-01 14:00:00,22.29423077,21.57115385,21.46269231,21.42807692,21.42153846,21.28923077,21.16769231,21.05653846,20.90692308,20.81961538
2005-09-01 15:00:00,,,,,,,,,,
2005-09-01 16:00:00,,,,,,,,,,
2005-09-01 17:00:00,,,,,,,,,,
2005-09-01 18:00:00,,,,,,,,,,
2005-09-01 19:00:00,,,,,,,,,,
2005-09-01 20:00:00,,,,,,,,,,
2005-09-01 21:00:00,,,,,,,,,,
2005-09-01 22:00:00,,,,,,,,,,
2005-09-01 23:00:00,,,,,,,,,,
