date,Tair0.75m (oC),Tair3m (oC),Tair5m (oC),Tair7m (oC),Tair9m (oC),Tair11m (oC),Tair14m (oC),Tair17m (oC),Tair21m (oC),Tair25m (oC),Tair28m (oC)
2005-08-20 00:00:00,-6999.0,27.63166667,27.62833333,-6999.0,27.64333333,-6999.0,27.64833333,27.67166667,-6999.0,-6999.0,-6999.0
2005-08-20 01:00:00,-6999.0,27.535,27.55,-6999.0,27.61166667,-6999.0,27.61666667,27.635,-6999.0,-6999.0,-6999.0
2005-08-20 02:00:00,-6999.0,27.26666667,27.29,-6999.0,27.365,-6999.0,27.385,27.40166667,-6999.0,-6999.0,-6999.0
2005-08-20 03:00:00,-6999.0,26.87833333,26.88333333,-6999.0,26.89666667,-6999.0,26.88333333,26.89166667,-6999.0,-6999.0,-6999.0
2005-08-20 04:00:00,-6999.0,26.57666667,26.61833333,-6999.0,26.73666667,-6999.0,26.76333333,26.79,-6999.0,-6999.0,-6999.0
2005-08-20 05:00:00,-6999.0,26.46333333,26.55166667,-6999.0,26.69166667,-6999.0,26.725,26.75833333,-6999.0,-6999.0,-6999.0
2005-08-20 06:00:00,-6999.0,27.20166667,27.3,-6999.0,27.31666667,-6999.0,27.24,27.15666667,-6999.0,-6999.0,-6999.0
2005-08-20 07:00:00,-6999.0,28.5,28.58,-6999.0,28.45,-6999.0,28.16,28.07166667,-6999.0,-6999.0,-6999.0
2005-08-20 08:00:00,-6999.0,30.29,30.245,-6999.0,29.98333333,-6999.0,29.59166667,29.50833333,-6999.0,-6999.0,-6999.0
2005-08-20 09:00:00,-6999.0,31.96666667,31.87,-6999.0,31.63,-6999.0,31.11166667,30.88,-6999.0,-6999.0,-6999.0
2005-08-20 10:00:00,-6999.0,33.13666667,33.045,-6999.0,32.58666667,-6999.0,31.91833333,31.59833333,-6999.0,-6999.0,-6999.0
2005-08-20 11:00:00,-6999.0,33.73,33.56666667,-6999.0,33.13333333,-6999.0,32.51833333,32.185,-6999.0,-6999.0,-6999.0
2005-08-20 12:00:00,-6999.0,34.28166667,34.19666667,-6999.0,33.64333333,-6999.0,32.97333333,32.605,-6999.0,-6999.0,-6999.0
2005-08-20 13:00:00,-6999.0,33.75833333,33.68,-6999.0,33.02166667,-6999.0,32.42333333,32.08,-6999.0,-6999.0,-6999.0
2005-08-20 14:00:00,-6999.0,33.44,33.40666667,-6999.0,32.78666667,-6999.0,32.25333333,31.91833333,-6999.0,-6999.0,-6999.0
2005-08-20 15:00:00,-6999.0,32.78666667,32.70833333,-6999.0,32.20833333,-6999.0,31.71833333,31.45,-6999.0,-6999.0,-6999.0
2005-08-20 16:00:00,-6999.0,31.72333333,31.73666667,-6999.0,31.44666667,-6999.0,31.095,30.92,-6999.0,-6999.0,-6999.0
2005-08-20 17:00:00,-6999.0,30.57833333,30.6,-6999.0,30.49,-6999.0,30.275,30.185,-6999.0,-6999.0,-6999.0
2005-08-20 18:00:00,-6999.0,29.53166667,29.465,-6999.0,29.43666667,-6999.0,29.33166667,29.30333333,-6999.0,-6999.0,-6999.0
2005-08-20 19:00:00,-6999.0,28.93166667,28.88833333,-6999.0,28.88166667,-6999.0,28.815,28.81,-6999.0,-6999.0,-6999.0
2005-08-20 20:00:00,-6999.0,28.67333333,28.64666667,-6999.0,28.65166667,-6999.0,28.61333333,28.61666667,-6999.0,-6999.0,-6999.0
2005-08-20 21:00:00,-6999.0,28.31166667,28.28333333,-6999.0,28.28333333,-6999.0,28.255,28.26,-6999.0,-6999.0,-6999.0
2005-08-20 22:00:00,-6999.0,27.93833333,27.92166667,-6999.0,27.94333333,-6999.0,27.92833333,27.93833333,-6999.0,-6999.0,-6999.0
2005-08-20 23:00:00,-6999.0,27.745,27.72166667,-6999.0,27.73,-6999.0,27.71333333,27.725,-6999.0,-6999.0,-6999.0
