date,Sdown (W m-2),Sup (W m-2),Ldown (W m-2),Lup (W m-2),U (m s-1),Tsonic (oC),q (g kg-1),H (W m-2),LE (W m-2),z'/L
2005-09-01 00:00:00,0.9,0.0,395.3,449.4,1.1218,24.902,15.818,-2.2436,11.115,0.037773
2005-09-01 01:00:00,0.5,-0.3,393.4,447.6,1.6669,24.693,15.144,-1.6293,2.7041,0.70241
2005-09-01 02:00:00,0.6,-0.1,389.8,444.6,1.8704,24.25,14.627,-2.455,0.52381,1.1551
2005-09-01 03:00:00,0.1,-0.4,400.0,445.2,2.2524,24.205,14.806,-4.7024,1.4401,0.1982
2005-09-01 04:00:00,0.3,-0.1,397.6,444.8,2.6438,24.046,14.727,-3.2207,3.1479,0.079829
2005-09-01 05:00:00,24.4,1.9,387.5,443.9,2.9013,23.645,14.428,-1.4838,6.5734,0.023405
2005-09-01 06:00:00,157.4,14.3,400.0,453.4,2.0397,23.898,14.066,12.776,19.587,-0.21356
2005-09-01 07:00:00,352.7,37.5,412.3,468.7,1.7583,24.568,13.984,78.41,87.776,-0.48222
2005-09-01 08:00:00,531.2,61.3,426.4,489.9,0.86416,25.897,14.301,86.073,55.489,-2.0582e-05
2005-09-01 09:00:00,652.7,77.1,436.5,506.6,0.82544,27.245,13.939,164.53,128.85,-0.43863
2005-09-01 10:00:00,716.1,83.8,442.8,517.7,2.865,27.809,13.945,178.82,121.97,-6.2439
2005-09-01 11:00:00,804.6,91.8,448.7,531.6,3.1206,28.284,12.719,206.64,179.88,-1.3947
2005-09-01 12:00:00,799.8,94.5,447.7,537.9,3.4932,28.588,12.439,188.49,145.94,-1.5799
2005-09-01 13:00:00,714.7,90.1,448.1,539.4,3.6192,29.289,12.541,187.81,108.09,-1.7728
2005-09-01 14:00:00,567.0,76.6,449.1,533.7,2.9536,29.764,13.407,156.19,134.43,-2.3072
2005-09-01 15:00:00,385.2,57.3,443.4,522.4,3.4833,30.032,14.031,132.61,128.15,-0.38644
2005-09-01 16:00:00,139.2,21.4,435.1,503.9,3.5606,29.624,14.964,50.347,71.858,-0.11254
2005-09-01 17:00:00,36.3,6.0,431.1,490.0,3.211,28.92,16.043,16.473,19.826,-0.025827
2005-09-01 18:00:00,1.3,0.6,423.8,479.8,3.4758,27.996,15.338,15.545,39.659,-0.049769
2005-09-01 19:00:00,0.2,0.2,416.2,473.3,3.8569,27.324,15.134,2.7101,8.0085,-0.0089177
2005-09-01 20:00:00,0.2,-0.1,412.9,469.6,3.119,27.077,15.639,-0.01152,13.441,8.4363e-05
2005-09-01 21:00:00,0.2,-0.2,411.6,466.8,2.7692,26.915,16.448,-4.0161,0.30478,0.022994
2005-09-01 22:00:00,0.5,-0.1,409.7,464.2,1.8495,26.689,16.544,0.095898,1.2925,-0.0064164
2005-09-01 23:00:00,0.7,-0.1,405.1,461.2,1.569,26.397,16.822,1.4646,1.2352,-0.11888
