date,U29m (m s-1),U21m (m s-1),U15m (m s-1),U11m (m s-1)
2005-09-01 00:00:00,1.1218,0.96765,0.80618,0.53006
2005-09-01 01:00:00,1.6669,1.4247,1.1633,0.81743
2005-09-01 02:00:00,1.8704,1.5763,1.2444,0.85032
2005-09-01 03:00:00,2.2524,1.8109,1.3441,0.81584
2005-09-01 04:00:00,2.6438,2.165,1.6085,1.0295
2005-09-01 05:00:00,2.9013,2.3886,1.7846,1.1585
2005-09-01 06:00:00,2.0397,1.7793,1.4458,0.97757
2005-09-01 07:00:00,1.7583,1.5487,1.2694,0.90294
2005-09-01 08:00:00,0.86416,0.85693,0.66912,0.51947
2005-09-01 09:00:00,0.82544,0.5757,0.39254,0.20182
2005-09-01 10:00:00,2.865,2.4817,1.3829,0.52831
2005-09-01 11:00:00,3.1206,2.6882,1.5246,0.6626
2005-09-01 12:00:00,3.4932,2.978,1.7086,0.68236
2005-09-01 13:00:00,3.6192,2.999,1.6008,0.61254
2005-09-01 14:00:00,2.9536,2.4023,1.269,0.52978
2005-09-01 15:00:00,3.4833,2.8558,1.4348,0.55786
2005-09-01 16:00:00,3.5606,2.8124,1.4796,0.63086
2005-09-01 17:00:00,3.211,2.3047,1.6519,0.95536
2005-09-01 18:00:00,3.4758,2.8594,2.4078,1.4949
2005-09-01 19:00:00,3.8569,3.1403,2.53,1.5585
2005-09-01 20:00:00,3.119,2.6492,2.2391,1.4317
2005-09-01 21:00:00,2.7692,2.2591,1.7709,1.0581
2005-09-01 22:00:00,1.8495,1.6701,1.4787,0.86959
2005-09-01 23:00:00,1.569,1.4161,1.2731,0.81008
