swtop,lwtop,wstop,ttop,qtop
0.0,428.6,2.7807,28.411,18.159
0.0,427.8,2.9516,28.364,18.058
0.1,425.6,1.9481,28.167,18.047
0.1,425.1,1.7139,27.764,18.699
0.4,419.6,1.2942,27.649,18.208
42.8,421.1,1.2588,27.435,17.478
214.1,432.6,1.837,27.612,18.026
408.9,441.4,2.2213,28.183,17.177
582.0,453.8,2.121,29.198,16.677
714.1,464.1,3.0931,30.312,16.503
829.2,470.7,4.8396,30.873,16.843
883.1,470.9,6.2076,31.193,16.003
873.7,473.0,6.4569,31.604,15.987
795.1,464.5,7.7394,31.227,16.564
678.6,458.8,7.7513,31.192,16.907
476.6,449.1,7.6277,30.954,17.156
273.6,442.4,6.9427,30.653,16.698
92.3,433.4,6.8582,30.271,17.134
6.8,425.9,6.6506,29.713,17.739
0.0,423.7,6.6558,29.293,17.703
0.0,422.6,5.7021,29.124,17.449
0.0,421.0,6.0086,28.795,17.4
0.0,420.0,4.7283,28.599,17.85
0.0,419.2,5.0197,28.399,17.776
0.0,428.6,2.7807,28.411,18.159
0.0,427.8,2.9516,28.364,18.058
0.1,425.6,1.9481,28.167,18.047
0.1,425.1,1.7139,27.764,18.699
0.4,419.6,1.2942,27.649,18.208
42.8,421.1,1.2588,27.435,17.478
214.1,432.6,1.837,27.612,18.026
408.9,441.4,2.2213,28.183,17.177
582.0,453.8,2.121,29.198,16.677
714.1,464.1,3.0931,30.312,16.503
829.2,470.7,4.8396,30.873,16.843
883.1,470.9,6.2076,31.193,16.003
873.7,473.0,6.4569,31.604,15.987
795.1,464.5,7.7394,31.227,16.564
678.6,458.8,7.7513,31.192,16.907
476.6,449.1,7.6277,30.954,17.156
273.6,442.4,6.9427,30.653,16.698
92.3,433.4,6.8582,30.271,17.134
6.8,425.9,6.6506,29.713,17.739
0.0,423.7,6.6558,29.293,17.703
0.0,422.6,5.7021,29.124,17.449
0.0,421.0,6.0086,28.795,17.4
0.0,420.0,4.7283,28.599,17.85
0.0,419.2,5.0197,28.399,17.776
0.0,428.6,2.7807,28.411,18.159
0.0,427.8,2.9516,28.364,18.058
0.1,425.6,1.9481,28.167,18.047
0.1,425.1,1.7139,27.764,18.699
0.4,419.6,1.2942,27.649,18.208
42.8,421.1,1.2588,27.435,17.478
214.1,432.6,1.837,27.612,18.026
408.9,441.4,2.2213,28.183,17.177
582.0,453.8,2.121,29.198,16.677
714.1,464.1,3.0931,30.312,16.503
829.2,470.7,4.8396,30.873,16.843
883.1,470.9,6.2076,31.193,16.003
873.7,473.0,6.4569,31.604,15.987
795.1,464.5,7.7394,31.227,16.564
678.6,458.8,7.7513,31.192,16.907
476.6,449.1,7.6277,30.954,17.156
273.6,442.4,6.9427,30.653,16.698
92.3,433.4,6.8582,30.271,17.134
6.8,425.9,6.6506,29.713,17.739
0.0,423.7,6.6558,29.293,17.703
0.0,422.6,5.7021,29.124,17.449
0.0,421.0,6.0086,28.795,17.4
0.0,420.0,4.7283,28.599,17.85
0.0,419.2,5.0197,28.399,17.776
0.0,428.6,2.7807,28.411,18.159
0.0,427.8,2.9516,28.364,18.058
0.1,425.6,1.9481,28.167,18.047
0.1,425.1,1.7139,27.764,18.699
0.4,419.6,1.2942,27.649,18.208
42.8,421.1,1.2588,27.435,17.478
214.1,432.6,1.837,27.612,18.026
408.9,441.4,2.2213,28.183,17.177
582.0,453.8,2.121,29.198,16.677
714.1,464.1,3.0931,30.312,16.503
829.2,470.7,4.8396,30.873,16.843
883.1,470.9,6.2076,31.193,16.003
873.7,473.0,6.4569,31.604,15.987
795.1,464.5,7.7394,31.227,16.564
678.6,458.8,7.7513,31.192,16.907
476.6,449.1,7.6277,30.954,17.156
273.6,442.4,6.9427,30.653,16.698
92.3,433.4,6.8582,30.271,17.134
6.8,425.9,6.6506,29.713,17.739
0.0,423.7,6.6558,29.293,17.703
0.0,422.6,5.7021,29.124,17.449
0.0,421.0,6.0086,28.795,17.4
0.0,420.0,4.7283,28.599,17.85
0.0,419.2,5.0197,28.399,17.776
0.0,428.6,2.7807,28.411,18.159
